clave,poblacion 
2001,544568
2002,1105279
2003,115534
2004,1815100
2005,109679
5001,1145
5002,164667
5003,24960
5004,25815
5005,1971
5006,30992
5007,14793
5008,3398
5009,65435
5010,89065
5011,13680
5012,1978
5013,1906
5014,11082
5015,1743
5016,2014
5017,120851
5018,254558
5019,9564
5020,76609
5021,7230
5022,33491
5023,11640
5024,49067
5025,179190
5026,3695
5027,105455
5028,70427
5029,2648
5030,881364
5031,26204
5032,47894
5033,119105
5034,7922
5035,754337
5036,24114
5037,6918
5038,14332
8001,13059
8002,26541
8003,9577
8004,19492
8005,26618
8006,6834
8007,17918
8008,12923
8009,29941
8010,25265
8011,55904
8012,10241
8013,12335
8014,2397
8015,1853
8016,4280
8017,184182
8018,5141
8019,960898
8020,8610
8021,162365
8022,2814
8023,7166
8024,4338
8025,9746
8026,2811
8027,50204
8028,4947
8029,59015
8030,8668
8031,42878
8032,118713
8033,1084
8034,7582
8035,11942
8036,46148
8037,1473439
8038,4959
8039,4397
8040,31103
8041,1725
8042,1583
8043,3349
8044,4912
8045,48732
8046,8306
8047,5566
8048,26042
8049,2855
8050,68084
8051,8073
8052,30453
8053,5060
8054,8337
8055,18595
8056,2207
8057,2492
8058,2858
8059,5607
8060,11742
8061,3399
8062,34454
8063,7107
8064,1847
8065,22455
8066,6587
8067,5751
26001,3066
26002,89275
26003,28205
26004,10422
26005,1296
26006,2977
26007,637
26008,1228
26009,875
26010,1555
26011,1754
26012,25147
26013,1821
26014,3711
26015,1655
26016,5621
26017,93248
26018,474408
26019,38459
26020,5337
26021,2155
26022,1083
26023,6836
26024,828
26025,61256
26026,67458
26027,9437
26028,1181
26029,173258
26030,958425
26031,1431
26032,1003
26033,87735
26034,1100
26035,13996
26036,34319
26037,1328
26038,5465
26039,6806
26040,2202
26041,14329
26042,178984
26043,256294
26044,498
26045,2982
26046,437
26047,10224
26048,73552
26049,3135
26050,1672
26051,5536
26052,6165
26053,457
26054,694
26055,209394
26056,10192
26057,1669
26058,18020
26059,2044
26060,1717
26061,1498
26062,1234
26063,1560
26064,1777
26065,1319
26066,9680
26067,1705
26068,1268
26069,6417
26070,18758
26071,24074
26072,15835
28001,12864
28002,31056
28003,259037
28004,10501
28005,4767
28006,8519
28007,16340
28008,4430
28009,225259
28010,1989
28011,9773
28012,46708
28013,16650
28014,4836
28015,16773
28016,24660
28017,16487
28018,8557
28019,18008
28020,2712
28021,126621
28022,549472
28023,4095
28024,4367
28025,29227
28026,3845
28027,423752
28028,3772
28029,14666
28030,14934
28031,1857
28032,693288
28033,134396
28034,9478
28035,59398
28036,1107
28037,26613
28038,336957
28039,31172
28040,68308
28041,370384
28042,6599
28043,25389